Vgas,Ang,ID,Vgas2,Vwater
0,0.04,0.4,2,0.4
90,0.619082,15.1577,5,15.1577
20,0.0152914,6.19517,5,6.19517
50,0.0101701,0.0618734,5,0.0618734
20,0.629699,0.156128,5,0.156128
2,4,1,1,1
355,0.004,4,3,4
70,0.988681,0.385626,5,0.385626
0,0.004,16,3,16
20,0.00235609,24.0426,4,24.0426
0.5,0.4,1,5,1
10,2.5,0.025,5,0.025
50,0.0250427,0.024376,5,0.024376
359,1,0.04,5,0.04
0,1,1.6,5,1.6
90,0.0146973,10.0898,5,10.0898
0.5,1.6,1,5,1
30,0.0298773,5.96366,5,5.96366
310,0.00243008,0.148551,5,0.148551
359,0.25,16,4,16
15,1.59986,0.099243,5,0.099243
359,4,1.6,1,1.6
90,2.42394,0.371183,1,0.371183
15,4.19227,0.941017,1,0.941017
20,0.948929,0.156612,5,0.156612
280,0.607447,0.0380739,4,0.0380739
270,2.32811,25.9227,5,25.9227
280,1.54166,0.153474,5,0.153474
50,0.150442,3.968,5,3.968
90,2.59966,0.155062,1,0.155062
280,0.0594024,15.3129,3,15.3129
350,1.6,2.5,3,2.5
0,4,1,1,1
5,0.0025,6.3,5,6.3
355,1,25,5,25
20,0.0967377,1.59298,5,1.59298
0,1.6,16,5,16
355,1.6,0.4,3,0.4
0.5,0.4,16,4,16
15,0.0772245,0.0962716,5,0.0962716
290,0.390219,0.0160241,3,0.0160241
50,0.961413,25.5403,5,25.5403
280,0.00158583,9.42417,3,9.42417
350,0.0016,0.016,3,0.016
350,1.6,1.6,3,1.6
359,0.63,6.3,5,6.3
1,1,0.4,5,0.4
20,2.40663,1.00352,5,1.00352
10,0.004,16,3,16
85,1.19284,3.95676,5,3.95676
310,1.68557,2.37137,5,2.37137
359,1,1,5,1
330,0.618908,9.94534,3,9.94534
359,2.5,1,5,1
90,0.0357155,9.93731,5,9.93731
1,0.0025,0.4,5,0.4
359,0.63,1,3,1
15,0.00244205,0.578597,5,0.578597
330,0.603957,16.3586,4,16.3586
10,0.1,0.63,5,0.63
5,0.0025,0.63,5,0.63
1,4,0.4,1,0.4
50,0.00981344,0.148467,5,0.148467
50,0.150823,24.253,4,24.253
30,0.283316,0.126488,5,0.126488
10,0.0025,1.6,5,1.6
359,1.6,2.5,5,2.5
80,2.43623,6.96263,5,6.96263
310,2.61763,0.365174,5,0.365174
80,0.00598885,0.160196,5,0.160196
0,0.63,4,5,4
20,0.00625642,6.14574,5,6.14574
290,2.63868,0.037503,1,0.037503
85,0.0634095,9.72762,5,9.72762
10,0.0025,40,4,40
0,4,0.025,1,0.025
15,0.0790604,6.10209,5,6.10209
50,1.54339,0.0234058,5,0.0234058
70,2.45272,6.17865,5,6.17865
0,4,2.5,5,2.5
350,0.025,25,4,25
359,0.01,1.6,2,1.6
280,1.04894,1.626,4,1.626
80,4.03152,0.997473,1,0.997473
355,4,1,1,1
330,0.414062,0.0934241,3,0.0934241
90,2.66402,0.157503,1,0.157503
280,0.406566,0.0386997,3,0.0386997
20,0.095858,6.29699,5,6.29699
15,0.142253,9.33893,5,9.33893
80,2.5483,0.262463,1,0.262463
90,2.7223,1.55761,1,1.55761
20,2.45307,2.39953,5,2.39953
15,0.179929,23.9628,4,23.9628
70,0.00394964,24.0705,4,24.0705
290,0.239414,15.8639,4,15.8639
5,0.0025,10,3,10
10,0.0025,2.5,5,2.5
330,1.62714,0.155362,3,0.155362
15,1.09854,0.0962716,5,0.0962716
80,0.388905,26.0735,4,26.0735
20,0.0985352,0.095885,5,0.095885
280,0.268488,6.17865,3,6.17865
10,0.01,1.6,5,1.6
80,0.00228757,1.59611,5,1.59611
0.5,1,16,5,16
15,0.00364103,10.3873,5,10.3873
359,0.63,0.16,3,0.16
5,4.5,1,1,1
70,0.00241476,24.1425,4,24.1425
270,4.00584,1.66532,1,1.66532
290,0.0105367,0.094973,3,0.094973
0.5,1,0.025,5,0.025
0.5,1,0.63,5,0.63
30,0.00833603,0.0217105,5,0.0217105
359,0.025,10,3,10
270,1.53174,17.5509,5,17.5509
350,4,0.15,1,0.15
355,0.4,16,4,16
310,0.00391098,6.04296,5,6.04296
90,0.377914,3.90274,5,3.90274
310,0.0387133,0.0237137,5,0.0237137
0.5,0.4,6.3,5,6.3
0,0.16,2.5,5,2.5
1,1,0.025,5,0.025
50,0.103518,0.0374424,5,0.0374424
330,1.7087,0.0224963,3,0.0224963
90,0.943212,3.90487,5,3.90487
90,0.150992,0.154537,5,0.154537
0.5,2.5,10,5,10
359,0.63,0.1,3,0.1
50,0.10728,0.974199,5,0.974199
70,1.60827,3.86807,5,3.86807
80,3.75162,0.165854,1,0.165854
80,0.101815,4.17275,5,4.17275
0.25,1,16,5,16
280,1.66684,0.0155471,1,0.0155471
359,0.0016,6.3,2,6.3
0.25,0.01,1.6,5,1.6
290,0.255547,0.09755,3,0.09755
50,3.88141,0.619517,1,0.619517
280,1.67718,0.0368059,1,0.0368059
0,0.63,16,4,16
0.5,0.0025,10,3,10
50,0.014922,3.81596,5,3.81596
15,0.00889159,10.3873,5,10.3873
1,0.1,4,5,4
30,0.00513536,5.87795,5,5.87795
359,0.0025,25,3,25
30,0.153086,15.1673,4,15.1673
50,0.0395853,0.0244309,5,0.0244309
0.25,0.04,4,3,4
70,0.371072,0.399332,5,0.399332
5,0.4,16,5,16
290,1.71062,1.62018,5,1.62018
10,0.04,16,4,16
0.5,0.063,25,4,25
1,0.1,0.63,5,0.63
70,0.0613538,3.76191,5,3.76191
280,0.399093,2.63127,3,2.63127
0,0.4,0.63,5,0.63
310,0.252193,23.7137,4,23.7137
85,1.79586,3.96549,5,3.96549
85,0.454466,6.41902,5,6.41902
0.25,0.04,0.025,5,0.025
30,0.0443394,0.0232419,5,0.0232419
355,1.6,1,3,1
85,0.00237671,10.2858,5,10.2858
20,3.29429,0.975843,5,0.975843
330,1.58784,0.385044,3,0.385044
15,0.00250011,15.6574,3,15.6574
280,0.611301,0.0951868,4,0.0951868
355,1,6.3,5,6.3
70,0.00229143,9.40003,5,9.40003
270,0.0028702,17.2896,4,17.2896
15,0.123548,0.158972,5,0.158972
310,2.6749,1.48551,5,1.48551
0,0.1,0.1,2,0.1
0,1.6,1,5,1
280,2.54132,0.248185,1,0.248185
20,0.954279,0.0607105,5,0.0607105
330,0.377065,41.1683,4,41.1683
30,2.31376,0.196736,1,0.196736
355,0.01,4,3,4
270,1.00778,0.0992528,5,0.0992528
80,0.371803,16.3448,5,16.3448
30,0.108661,15.0802,4,15.0802
0,0.04,16,4,16
330,1.59007,4.06452,3,4.06452
310,4.15899,0.143301,1,0.143301
90,0.0352071,3.71901,5,3.71901
50,0.00233697,3.78818,5,3.78818
330,2.30889,6.3933,5,6.3933
70,2.42564,0.14316,1,0.14316
350,0.004,10,3,10
0.5,0.01,6.3,3,6.3
30,0.0732499,4.19922,5,4.19922
30,2.44756,0.460154,1,0.460154
0,2.5,0.04,5,0.04
280,4.21756,0.974883,1,0.974883
90,0.00604976,10.0859,5,10.0859
15,2.55955,0.236014,1,0.236014
280,4.06223,3.59724,1,3.59724
0.5,1,2.5,5,2.5
15,0.020717,15.8972,4,15.8972
85,2.5183,1.46899,5,1.46899
359,0.01,10,3,10
270,1.60468,0.251566,5,0.251566
0,0.1,0.4,2,0.4
330,0.0023206,39.1758,4,39.1758
10,0.1,0.1,5,0.1
50,0.0370134,6.20563,5,6.20563
30,0.071591,22.8789,4,22.8789
5,2.5,0.63,5,0.63
280,0.246534,25.1415,4,25.1415
270,0.39749,27.1159,4,27.1159
70,0.422824,24.4868,5,24.4868
80,0.0368473,6.24587,5,6.24587
1,0.01,0.1,5,0.1
30,0.277133,0.0231832,5,0.0231832
350,1.73825,16,5,16
50,2.45824,0.599981,5,0.599981
280,0.156755,15.5559,4,15.5559
90,2.52051,0.592512,1,0.592512
10,0.01,0.25,5,0.25
70,0.010038,16.3626,4,16.3626
350,0.016,16,3,16
270,0.642807,0.0461844,5,0.0461844
10,0.1,0.04,5,0.04
30,0.0123745,0.0813237,5,0.0813237
270,3.94421,1.04603,1,1.04603
359,0.063,25,4,25
280,1.55657,15.7672,5,15.7672
30,0.168296,0.0833369,5,0.0833369
30,0.0191095,0.0842792,5,0.0842792
355,0.16,25,4,25
70,2.87325,1.48181,1,1.48181
0,0.4,0.1,5,0.1
355,0.004,6.3,3,6.3
10,0.016,10,5,10
355,1.6,0.016,3,0.016
355,0.16,10,3,10
310,1.74474,0.0930572,5,0.0930572
310,0.250269,0.0378552,5,0.0378552
15,2.81177,0.361207,1,0.361207
310,0.420631,24.5824,5,24.5824
0,0.0063,0.025,2,0.025
80,2.48045,11.4316,5,11.4316
90,0.964933,0.365091,5,0.365091
290,1.57583,0.0374372,5,0.0374372
20,0.101259,0.0597288,5,0.0597288
270,0.253536,27.1159,4,27.1159
359,0.0016,10,3,10
5,0.4,25,4,25
330,1.62669,0.0917199,3,0.0917199
310,0.00618343,14.3301,4,14.3301
15,2.55955,0.151886,1,0.151886
0.5,4,0.1,1,0.1
310,1.72474,6.04296,5,6.04296
359,0.4,6.3,5,6.3
290,0.649199,0.0949797,3,0.0949797
15,0.274647,0.158972,5,0.158972
359,1.6,0.63,5,0.63
359,1,0.1,5,0.1
70,0.00612505,9.63578,5,9.63578
355,1,2.5,3,2.5
70,0.0395631,6.42009,5,6.42009
80,0.252548,10.0296,5,10.0296
70,0.0242053,6.53639,5,6.53639
330,1.5473,0.0370134,3,0.0370134
0.5,0.1,0.63,5,0.63
30,0.0750105,0.737665,5,0.737665
50,0.10236,0.0925746,5,0.0925746
85,2.77211,3.85497,5,3.85497
0.25,0.04,10,3,10
0.25,0.063,10,3,10
310,0.0391098,6.04296,5,6.04296
85,0.0038765,6.24412,5,6.24412
330,0.00146973,0.970236,3,0.970236
290,0.00433596,25.214,3,25.214
0.25,0.63,6.3,5,6.3
50,4.76006,3.84287,1,3.84287
20,0.00245548,2.51627,5,2.51627
70,0.00243247,0.154323,5,0.154323
0.5,0.01,1,5,1
270,0.652852,0.158015,5,0.158015
20,3.7453,0.242871,1,0.242871
0.25,0.0025,10,3,10
30,0.427605,0.131067,5,0.131067
20,2.56591,0.0602262,5,0.0602262
0.25,0.16,16,4,16
0.5,2.5,16,5,16
355,1,16,5,16
350,2.5,0.025,1,0.025
270,1.57999,0.151061,5,0.151061
355,0.016,25,4,25
0,4,0.04,1,0.04
70,2.03771,1.48441,5,1.48441
50,0.00238407,6.14142,5,6.14142
310,0.00998736,0.0153993,5,0.0153993
30,1.54144,0.129802,5,0.129802
80,0.956024,4.10701,5,4.10701
0.5,4,2.5,5,2.5
50,2.44172,0.97201,5,0.97201
0,0.4,16,4,16
20,4.08341,1.54665,5,1.54665
1,1,25,5,25
70,0.149977,14.9236,4,14.9236
15,2.87862,0.596455,1,0.596455
359,0.4,2.5,3,2.5
359,1.6,1,5,1
50,2.50568,6.30496,5,6.30496
50,0.627667,2.46239,5,2.46239
15,0.0093194,1.44018,5,1.44018
